# Gnuplot data for scatter plot of time
# SMT-LIB group log
# Comparison of options "klive" and "kliveia"
# column 1 is result: -1 == error or timeout
#                      0 == safe
#                      1 == unsafe
# ranges 5000 1200
#
fischer_sal_aut.002.001 0 4.9 3.02
fischer_sal_aut.002.002 0 5.06 4.5
fischer_sal_aut.002.003 0 1.08 1.57
fischer_sal_aut.002.004 -1 1200 1200
fischer_sal_aut.002.005 -1 1200 1200
fischer_sal_aut.003.000 0 0.18 0.45
fischer_sal_aut.003.001 0 529.7 10.4
fischer_sal_aut.003.002 0 1064.33 37.77
fischer_sal_aut.003.003 0 8.09 2.06
fischer_sal_aut.003.004 -1 1200 1200
fischer_sal_aut.003.005 0 1200 1200
fischer_sal_aut.004.000 0 5.44 0.65
fischer_sal_aut.004.001 0 1200 32.89
fischer_sal_aut.004.002 0 1200 149.57
fischer_sal_aut.004.003 0 1200 19.29
fischer_sal_aut.004.004 0 1200 1200
fischer_sal_aut.004.005 -1 1200 1200
fischer_sal_aut.005.000 0 0.27 1.14
fischer_sal_aut.005.001 0 1200 456.23
fischer_sal_aut.005.002 0 1200 917.35
fischer_sal_aut.005.003 0 1200 14.09
fischer_sal_aut.005.004 1 1200 1200
fischer_sal_aut.005.005 1 1200 1200
fischer_sal_aut.006.000 0 0.27 1.28
fischer_sal_aut.006.001 0 1200 220.5
fischer_sal_aut.006.002 0 1200 1200
fischer_sal_aut.006.003 0 1200 129.1
fischer_sal_aut.006.004 -1 1200 1200
fischer_sal_aut.006.005 -1 1200 1200
fischer_sal_aut.007.000 0 0.39 1.36
fischer_sal_aut.007.001 0 1200 1200
fischer_sal_aut.007.002 0 1200 1200
fischer_sal_aut.007.003 0 1200 847.39
fischer_sal_aut.007.004 0 1200 1200
fischer_sal_aut.007.005 -1 1200 1200
fischer_sal_aut.008.000 0 0.27 1.96
fischer_sal_aut.008.001 0 1200 1200
fischer_sal_aut.008.002 0 1200 1200
fischer_sal_aut.008.003 0 1200 292.22
fischer_sal_aut.008.004 -1 1200 1200
fischer_sal_aut.008.005 -1 1200 1200
fischer_sal_aut.009.000 0 0.5 3.61
fischer_sal_aut.009.001 0 1200 1200
fischer_sal_aut.009.002 0 1200 1200
fischer_sal_aut.009.003 0 1200 665.8
fischer_sal_aut.009.004 -1 1200 1200
fischer_sal_aut.009.005 0 1200 1200
fischer_sal_aut.010.000 0 0.48 4.48
fischer_sal_aut.010.001 0 1200 1200
fischer_sal_aut.010.002 0 1200 1200
fischer_sal_aut.010.003 0 1200 1200
fischer_sal_aut.010.004 -1 1200 1200
fischer_sal_aut.010.005 -1 1200 1200
fischer_sal_aut.011.000 0 9.69 3.75
fischer_sal_aut.011.001 0 1200 1200
fischer_sal_aut.011.002 0 1200 1200
fischer_sal_aut.011.003 0 1200 1200
fischer_sal_aut.011.004 -1 1200 1200
fischer_sal_aut.011.005 -1 1200 1200
fischer_sal_aut.012.000 0 0.6 7.04
fischer_sal_aut.012.001 0 1200 1200
fischer_sal_aut.012.002 0 1200 1200
fischer_sal_aut.012.003 0 1200 1200
fischer_sal_aut.012.004 -1 1200 1200
fischer_sal_aut.012.005 -1 1200 1200
fischer_sal_aut.013.000 0 0.46 5.94
fischer_sal_aut.013.001 0 1200 1200
fischer_sal_aut.013.002 0 1200 1200
fischer_sal_aut.013.003 0 1200 1200
fischer_sal_aut.013.004 -1 1200 1200
fischer_sal_aut.013.005 -1 1200 1200
fischer_sal_aut.014.000 0 1.05 8.08
fischer_sal_aut.014.001 0 1200 1200
fischer_sal_aut.014.002 0 1200 1200
fischer_sal_aut.014.003 0 1200 1200
fischer_sal_aut.014.004 0 1200 1200
fischer_sal_aut.014.005 -1 1200 1200
fischer_sal_aut.015.000 0 0.88 14.63
fischer_sal_aut.015.001 0 1200 1200
fischer_sal_aut.015.002 -1 1200 1200
fischer_sal_aut.015.003 0 1200 1200
fischer_sal_aut.015.004 0 1200 1200
fischer_sal_aut.015.005 -1 1200 1200
hddi.002.000 0 1200 1200
hddi.002.001 0 1200 1200
hddi.002.002 0 1200 1200
hddi.002.003 0 1200 1200
hddi.003.000 0 1200 1200
hddi.003.001 -1 1200 1200
hddi.003.002 0 1200 1200
hddi.003.003 -1 1200 1200
hddi.004.000 0 1200 1200
hddi.004.001 0 1200 1200
hddi.004.002 -1 1200 1200
hddi.004.003 0 1200 1200
hddi.005.000 0 1200 1200
hddi.005.001 0 1200 1200
hddi.005.002 -1 1200 1200
hddi.005.003 -1 1200 1200
hddi.006.000 0 1200 1200
hddi.006.001 -1 1200 1200
hddi.006.002 -1 1200 1200
hddi.006.003 -1 1200 1200
hddi.007.000 -1 1200 1200
hddi.007.001 -1 1200 1200
hddi.007.002 0 1200 1200
hddi.007.003 -1 1200 1200
hddi.008.000 -1 1200 1200
hddi.008.001 -1 1200 1200
hddi.008.002 0 1200 1200
hddi.008.003 -1 1200 1200
hddi.009.000 -1 1200 1200
hddi.009.001 0 1200 1200
hddi.009.002 -1 1200 1200
hddi.009.003 0 1200 1200
hddi.010.000 0 1200 1200
hddi.010.001 -1 1200 1200
hddi.010.002 -1 1200 1200
hddi.010.003 -1 1200 1200
hddi.011.000 0 1200 1200
hddi.011.001 0 1200 1200
hddi.011.002 0 1200 1200
hddi.011.003 -1 1200 1200
hddi.012.000 0 1200 1200
hddi.012.001 -1 1200 1200
hddi.012.002 0 1200 1200
hddi.012.003 0 1200 1200
hddi.013.000 -1 1200 1200
hddi.013.001 -1 1200 1200
hddi.013.002 -1 1200 1200
hddi.013.003 -1 1200 1200
hddi.014.000 0 1200 1200
hddi.014.001 -1 1200 1200
hddi.014.002 -1 1200 1200
hddi.014.003 -1 1200 1200
hddi.015.000 0 1200 1200
hddi.015.001 0 1200 1200
hddi.015.002 0 1200 1200
hddi.015.003 0 1200 1200
lynch_mahata_aut.002.000 1 1200 1200
lynch_mahata_aut.002.001 1 334.94 23.98
lynch_mahata_aut.002.002 0 0.05 0.06
lynch_mahata_aut.003.000 1 1200 1200
lynch_mahata_aut.003.001 1 1200 344.62
lynch_mahata_aut.003.002 0 0.07 0.07
lynch_mahata_aut.004.000 1 1200 1200
lynch_mahata_aut.004.001 -1 1200 1200
lynch_mahata_aut.004.002 0 0.06 0.07
lynch_mahata_aut.005.000 -1 1200 1200
lynch_mahata_aut.005.001 -1 1200 1200
lynch_mahata_aut.005.002 0 0.06 0.07
