# group: lifecycle
# user: ubuntu
# timestamp: 1531006107
# time: 2018-07-07 23:28:27
# solver_name: solver@lifecycle
# solver_executable: /home/ubuntu/Documents/source/callback-verification/benchtools_setup/results_tables/popl/small_corpus/simulation/scripts/simulate.sh
# solver_parameters: /home/s/Documents/source/callback-verification;/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.app.Fragment/DialogFragment_lifecycle.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.app.Activity/activity_lifecycle.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.app.Fragment/Fragment_lifecycle.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/subexpr/android.app.Activity/activity_callbacks.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/subexpr/android.app.Fragment/fragment_callbacks.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/subexpr/android.app.Activity/activity_aux.spec
# basedir: /
# time_limit: 14400
# mem_limit: 29000000
# tempdir: 
# num_cores: 4
/home/ubuntu/Documents/data/apps_man_corp/name.boyle.chris.sgtpuzzles/115/traces/manual22.trace.repaired result Ok time 108.29 steps ('62',) 
/home/ubuntu/Documents/data/apps_man_corp/name.boyle.chris.sgtpuzzles/115/traces/manual23.trace.repaired result Ok time 97.46 steps ('44',) 
/home/ubuntu/Documents/data/apps_man_corp/name.boyle.chris.sgtpuzzles/115/traces/manual3.trace.repaired result Ok time 84.32 steps ('52',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual1.trace.repaired result Ok time 66.73 steps ('9',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual10.trace.repaired result Ok time 192.58 steps ('32',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual17.trace.repaired result Ok time 189.41 steps ('49',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual18.trace.repaired result Ok time 145.36 steps ('33',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual2.trace.repaired result Ok time 72.83 steps ('11',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual24.trace.repaired result Ok time 218.51 steps ('25',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual25.trace.repaired result Ok time 207.86 steps ('14',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual26.trace.repaired result Ok time 225.49 steps ('16',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual3.trace.repaired result Ok time 56.57 steps ('11',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual9.trace.repaired result Ok time 167.52 steps ('24',) 
