/home/ubuntu/Documents/data/apps_man_corp/name.boyle.chris.sgtpuzzles/115/traces/manual1.trace.repaired result Ok time 84.32 steps ('41',) 
/home/ubuntu/Documents/data/apps_man_corp/name.boyle.chris.sgtpuzzles/115/traces/manual11.trace.repaired result Ok time 103.13 steps ('51',) 
/home/ubuntu/Documents/data/apps_man_corp/name.boyle.chris.sgtpuzzles/115/traces/manual12.trace.repaired result Ok time 111.08 steps ('79',) 
/home/ubuntu/Documents/data/apps_man_corp/name.boyle.chris.sgtpuzzles/115/traces/manual19.trace.repaired result Ok time 127.18 steps ('87',) 
/home/ubuntu/Documents/data/apps_man_corp/name.boyle.chris.sgtpuzzles/115/traces/manual2.trace.repaired result Ok time 88.46 steps ('32',) 
/home/ubuntu/Documents/data/apps_man_corp/name.boyle.chris.sgtpuzzles/115/traces/manual20.trace.repaired result Ok time 104.14 steps ('50',) 
/home/ubuntu/Documents/data/apps_man_corp/name.boyle.chris.sgtpuzzles/115/traces/manual21.trace.repaired result Ok time 130.25 steps ('89',) 
/home/ubuntu/Documents/data/apps_man_corp/name.boyle.chris.sgtpuzzles/115/traces/manual22.trace.repaired result Ok time 118.09 steps ('74',) 
/home/ubuntu/Documents/data/apps_man_corp/name.boyle.chris.sgtpuzzles/115/traces/manual23.trace.repaired result Ok time 104.55 steps ('53',) 
/home/ubuntu/Documents/data/apps_man_corp/name.boyle.chris.sgtpuzzles/115/traces/manual3.trace.repaired result Ok time 103.03 steps ('67',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual1.trace.repaired result Ok time 74.5 steps ('38',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual10.trace.repaired result Ok time 328.64 steps ('160',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual17.trace.repaired result Ok time 399.08 steps ('137',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual18.trace.repaired result Ok time 291.65 steps ('115',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual2.trace.repaired result Ok time 86.57 steps ('49',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual24.trace.repaired result Ok time 259.9 steps ('80',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual25.trace.repaired result Ok time 264.58 steps ('123',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual26.trace.repaired result Ok time 286.29 steps ('60',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual3.trace.repaired result Ok time 92.09 steps ('36',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual9.trace.repaired result Ok time 325.7 steps ('249',) 
